Title,Date,href
North Atlantic Noncommutative Geometry Seminar,2024-03-06 17:15,https://www.mimuw.edu.pl/seminaria/north-atlantic-noncommutative-geometry-seminar
North Atlantic Noncommutative Geometry Seminar,2024-02-28 17:15,https://www.mimuw.edu.pl/seminaria/north-atlantic-noncommutative-geometry-seminar
North Atlantic Noncommutative Geometry Seminar,2024-01-24 17:15,https://www.mimuw.edu.pl/seminaria/north-atlantic-noncommutative-geometry-seminar
North Atlantic Noncommutative Geometry Seminar,2024-01-17 17:15,https://www.mimuw.edu.pl/seminaria/north-atlantic-noncommutative-geometry-seminar
North Atlantic Noncommutative Geometry Seminar,2024-01-10 17:15,https://www.mimuw.edu.pl/seminaria/north-atlantic-noncommutative-geometry-seminar
"Seminarium ""DeSeR: Dane, strumienie, rozpraszanie""",2023-12-21 12:15,https://www.mimuw.edu.pl/seminaria/deser-dane-strumienie-rozpraszanie
North Atlantic Noncommutative Geometry Seminar,2023-12-20 17:15,https://www.mimuw.edu.pl/seminaria/north-atlantic-noncommutative-geometry-seminar
Sem. Topologia i T. Mnogości,2023-12-20 16:15,https://www.mimuw.edu.pl/seminaria/sem-topologia-i-t-mnogosci
Metody ilościowe w finansach,2023-12-20 14:15,https://www.mimuw.edu.pl/seminaria/metody-ilosciowe-w-finansach
Teoria Automatów,2023-12-20 14:15,https://www.mimuw.edu.pl/seminaria/teoria-automatow
Sem. Topologia Alg.,2023-12-20 10:30,https://www.mimuw.edu.pl/seminaria/sem-topologia-alg
Biol. Obl. i Bioinf.,2023-12-20 10:15,https://www.mimuw.edu.pl/seminaria/biol-obl-i-bioinf
"Seminarium ""DeSeR: Dane, strumienie, rozpraszanie""",2023-12-14 12:15,https://www.mimuw.edu.pl/seminaria/deser-dane-strumienie-rozpraszanie
Sem. Algebra,2023-12-14 12:15,https://www.mimuw.edu.pl/seminaria/sem-algebra
Sem. RP,2023-12-14 12:15,https://www.mimuw.edu.pl/seminaria/sem-rp
